title,genre,year,country,rate,description
Назад в будущее,"фантастика, комедия, приключения",1985,США,8.6,"Подросток Марти с помощью машины времени, сооружённой его другом-профессором доком Брауном, попадает из 80-х в далекие 50-е. Там он встречается со своими будущими родителями, ещё подростками, и другом-профессором, совсем молодым."
Гравити Фолз,"мультфильм, комедия, детектив, приключения, семейный, фантастика",2012,"США, Корея Южная",9.0,"Приключения двойняшек Диппера и Мэйбл, которые проводят летние каникулы у двоюродного дедушки в городке под названием Гравити Фолз."
Шерлок,"детектив, триллер, драма, криминал",2010,"Великобритания, США",8.9,"События разворачиваются в наши дни. Он прошел Афганистан, остался инвалидом. По возвращении в родные края встречается с загадочным, но своеобразным гениальным человеком. Тот в поиске соседа по квартире. Лондон, 2010 год. Происходят необъяснимые убийства. Скотланд-Ярд без понятия, за что хвататься. Существует лишь один человек, который в силах разрешить проблемы и найти ответы на сложные вопросы."
Конёк-Горбунок,"фэнтези, комедия, приключения, семейный",2021,Россия,7.3,"Иван — не царевич, не богатырь, не красавец, а старшие братья и вовсе его дураком считают. Но всё меняется, когда у Ивана появляется друг и верный помощник — Конёк-Горбунок. Пусть он ростом невелик, зато умный и смелый. С таким другом никакой враг не страшен. Ну, почти никакой. С таким помощником и ничего невозможного нет. Ну, почти, нет. Ивану с Коньком предстоит проверить свою дружбу на прочность, столкнуться с коварным противником, преодолеть невероятные испытания и встретить такую любовь, ради которой стоит рискнуть всем. Ну, почти всем."
Смешарики,"мультфильм, детский, комедия, семейный",2003,Россия,7.8,"Истории о дружбе и приключениях круглых героев. Весёлые и музыкальные, неожиданные и мечтательные, домашние и авантюрные. Целый мир в одной уютной ромашковой долине."
Медиатор,"драма, триллер",2021,Россия,8.1,"Андрей Павлов — профессиональный переговорщик, прошедший подготовку в Академии Управления МВД России. Он тот человек, который без оружия приходит к террористам и в считанные секунды устанавливает с ними контакт. Но основной его доход идет не от удачного освобождения заложников, а от крупного бизнеса. Везде, где люди не могут договориться, он помогает — за очень большие деньги. Для каждого случая он меняется до неузнаваемости. Удивительную способность к перевоплощению Павлов развил в детстве — это помогало ему выстраивать непростые отношения с матерью. А еще он настолько хорошо чувствует людей, что давно не верит никому. Даже себе."
Шерлок Холмс,"боевик, приключения, триллер, драма, комедия, криминал, детектив",2009,"США, Германия",8.1,"Величайший в истории сыщик Шерлок Холмс вместе со своим верным соратником Ватсоном вступают в схватку, требующую нешуточной физической и умственной подготовки, ведь их враг представляет угрозу для всего Лондона."
Счастливое число Слевина,"триллер, драма, криминал",2005,"США, Канада, Великобритания, Германия",8.2,"Слевину не везет — дом опечатан, девушка ушла к другому. Его друг Ник уезжает из Нью-Йорка и предлагает Слевину пожить в пустой квартире. Тем временем, крупный криминальный авторитет по прозвищу Босс хочет рассчитаться со своим бывшим партнером за убийство сына и в отместку заказать его наследника."
Три богатыря и Пуп Земли,"мультфильм, приключения, семейный",2023,Россия,7.0,"По сказкам мы знаем, что было давным-давно, но что было еще давным-давнее? Трем богатырям предстоит узнать ответ на этот вопрос, хоть они его и не задавали. Тут такое началось, что игогошеньки! Горыныч вдруг находит динозаврика, а Алеша Попович с Князем и конем Юлием буквально проваливаются сквозь землю. Теперь надо срочно понять, как вернуть их назад в будущее. А главное, узнать, кто или что такое загадочный Пуп Земли."
Головоломка,"мультфильм, семейный, комедия, фэнтези",2015,США,8.1,"В голове у обычной 11-летней школьницы Райли живут пять базовых эмоций: Радость, Грусть, Страх, Гнев и Отвращение. Каждый день они помогают девочке справляться с проблемами, руководя всеми её поступками. Вдруг выясняется, что Райли с родителями предстоит переезд из небольшого уютного городка в шумный и людный мегаполис. Каждая из эмоций считает, что именно она лучше прочих знает, что нужно делать в этой непростой ситуации, и в голове у девочки наступает полный хаос."
Триггер. Фильм,драма,2023,Россия,6.4,"После драматичных событий — бывшая жена осуждена за убийство, отец неизлечимо болен, возлюбленная ушла — Артём Стрелецкий решает начать всё заново: переезжает к морю, туда, где сам был счастлив в детстве, устраивается работать барменом и знакомится с Майей, которая тоже психолог. Она и поможет Стрелецкому посмотреть на себя с другого ракурса и проработать собственные триггеры."
Марсианин,"фантастика, приключения, драма, комедия, триллер",2015,"США, Великобритания, Венгрия, Иордания",7.8,"Марсианская миссия «Арес-3» в процессе работы вынуждена экстренно покинуть планету из-за быстро надвигающейся песчаной бури. В попытке добраться до корабля во время бури инженер и биолог Марк Уотни получает повреждение скафандра обломками антенны и команда теряет его из виду. Посчитав его погибшим, экипаж улетает с Марса. Очнувшись, Уотни обнаруживает, что связь с Землёй отсутствует, но при этом полностью функционирует жилой модуль. Он начинает искать способы продержаться на имеющихся запасах еды, витаминов, воды и воздуха ещё 4 года до прилёта следующей миссии «Арес-4»."
Дьявол носит Prada,"драма, комедия",2006,"США, Франция",7.7,"Мечтающая стать журналисткой провинциальная девушка Энди по окончании университета получает должность помощницы всесильной Миранды Пристли, деспотичного редактора одного из крупнейших нью-йоркских журналов мод. Энди всегда мечтала о такой работе, не зная, с каким нервным напряжением это будет связано…"
Беспринципные в Питере,"комедия, мелодрама",2025,Россия,7.7,"Валя и Хадяков поссорились: генерал крупно накосячил. И Валентина собрала вещи и уехала из Патриков в Питер. Она решила поселиться в культурной столице, потому что душа её просит высоких чувств и искусства, а Хадякову Валентина велит не приближаться на пушечный выстрел. Генерал топит горе в работе, теперь он вечно в командировках: то на заводе, то в частном джете, то в гостинице, то в московском офисе. В разъездах по стране его постоянно пытаются напоить и соблазнить, однако он дал себе зарок не вступать в отношения. Тем временем Валентина продолжает заниматься музыкой и завоёвывать Петербург."
Джокер,"драма, криминал, триллер",2019,"США, Канада, Австралия",8.0,"Готэм, начало 1980-х годов. Комик Артур Флек живет с больной матерью, которая с детства учит его «ходить с улыбкой». Пытаясь нести в мир хорошее и дарить людям радость, Артур сталкивается с человеческой жестокостью и постепенно приходит к выводу, что этот мир получит от него не добрую улыбку, а ухмылку злодея Джокера."
Однажды в… Голливуде,"драма, комедия",2019,"США, Великобритания, Китай",7.7,"1969 год, золотой век Голливуда уже закончился. Известный актёр Рик Далтон и его дублер Клифф Бут пытаются найти свое место в стремительно меняющемся мире киноиндустрии."
Баба Яга спасает мир,"фэнтези, комедия, семейный, приключения",2023,Россия,7.3,"Любопытный школьник Сенька каким-то чудом попадает в сказочный древний лес. Он скрыт от людских глаз мощным заклятием Бабы Яги, призванным защитить людей и весь мир от дремлющих там темных сил. В лесу явно творится что-то неладное. Тревожные сигналы возвещают, что заклятие больше не действует, и пробуждение зловещего волшебства и давно поверженных врагов — лишь вопрос времени. Чтобы наложить заклятие снова, Яга вынуждена отправиться в современный город на поиск мощнейшего оружия волшебников, дивноцвета. Там ее ожидает встреча с множеством причуд современного мира, а в темном подземелье уже тысячу лет прячется жаждущий мести Кощей Бессмертный, ведь именно Яга помогла одолеть его много веков назад."
Престиж,"триллер, фантастика, драма, детектив",2006,"Великобритания, США",8.5,"Роберт и Альфред - фокусники-иллюзионисты, которые на рубеже XIX и XX веков соперничали друг с другом в Лондоне. С годами их дружеская конкуренция на профессиональной почве перерастает в настоящую войну.

Они готовы на все, чтобы выведать друг у друга секреты фантастических трюков и сорвать их исполнение. Непримиримая вражда, вспыхнувшая между ними, начинает угрожать жизни окружающих их людей…"
Леди Баг и Супер-Кот,"мультфильм, фэнтези, детский, боевик, мелодрама, приключения, семейный",2015,"Франция, Корея Южная, Япония, США, Бразилия, Канада, Италия",8.3,"С виду обычные старшеклассники Эдриан и Маринетт при малейшей угрозе Парижу становятся Леди Баг и Супер-котом. Их миссия — захватить акум (тёмных бабочек), которые превращают людей в суперзлодеев. Когда супергерои объединяются, оба не знают истинной личности другого. Маринетт не знает, что Супер-кот на самом деле Эдриан — парень, в которого она тайно влюблена, а Эдриан, чьё сердце бьётся ради Леди Баг, не знает, что под маской супергероини скрывается милая и ветреная одноклассница."
Внутри убийцы,"детектив, триллер",2024,Россия,7.4,"Профайлер Зоя Волгина — лучшая в своем деле: сцены преступлений буквально оживают у нее перед глазами. Именно Зою и специального сотрудника Следственного комитета Тимофея Волоха привлекают к новому расследованию: в Петербурге неизвестный душитель бальзамирует тела своих жертв, превращая их в статуи. Его «почерк» Зое знаком — много лет назад она уже сталкивалась с очень похожим человеком."
Бесстыжие,"драма, комедия",2011,США,8.6,"О взбалмошной многодетной семье Галлагеров и их соседях, которые веселятся, попадают в самые невероятные ситуации и пытаются выжить в этом мире всеми возможными средствами, но при этом как можно меньше работая."
Один дома 2: Затерянный в Нью-Йорке,"комедия, семейный, приключения",1992,США,8.0,"Самый маленький герой Америки устраивает большой переполох в Нью-Йорке! Кевин МакКалистер вернулся! Но теперь он один не дома, а в Нью-Йорке и у него достаточно денег и кредитных карточек, чтобы превратить Большое Яблоко в собственную площадку для игр.

Но, как всегда, Кевину не суждено быть долго одному: его старые приятели ― жулики Гарри и Марв ― сбежали из тюрьмы, куда они попали стараниями Кевина. И надо же им было попасть именно в тот город, где Кевин планировал поразвлечься! Новые западни и ловушки уже ждут горе-бандитов."
Молодёжка. Новая смена,"драма, комедия, спорт",2024,Россия,8.9,"Команда Студенческой хоккейной лиги «Акулы Политеха» на грани расформирования. Но в вуз приходит Казанцев, который решает превратить «Акул» в лучшую команду лиги и тем самым повысить рейтинг института. Тренером клуба он видит в первую очередь бывшего игрока «Медведей» — Андрея Кисляка. Чтобы вывести «Акул» на следующий уровень, Кисляку придётся не только найти общий язык с новым поколением спортсменов, но и измениться самому."
Сто лет тому вперёд,"фантастика, приключения, семейный",2024,Россия,7.6,"Они живут в разных мирах. Коля Герасимов — в Москве 2024 года, Алиса Селезнёва — на сто лет позже. Коля — обычный старшеклассник, ему нет дела до будущего. Алису не отпускает прошлое: она пытается найти маму, которая пропала, сражаясь с космическими пиратами. Встреча Алисы и Коли станет началом невероятных приключений."
Круэлла,"комедия, криминал, драма",2021,"США, Великобритания, Канада, Ирландия",7.6,"Великобритания, 1960-е годы. Эстелла была необычным ребёнком, и особенно трудно ей было мириться со всякого рода несправедливостью. Вылетев из очередной школы, она с мамой отправляется в Лондон. По дороге они заезжают в особняк известной модельерши по имени Баронесса, где в результате ужасного несчастного случая мама погибает. Добравшись до Лондона, Эстелла знакомится с двумя мальчишками — уличными мошенниками Джаспером и Хорасом.

10 лет спустя та же компания промышляет на улицах британской столицы мелким воровством, но Эстелла никак не может оставить мечту сделать карьеру в мире моды. Хитростью устроившись в фешенебельный универмаг, девушка привлекает внимание Баронессы, и та берёт её к себе в штат дизайнеров."
Душа,"мультфильм, фэнтези, комедия, приключения, семейный, музыка",2020,США,8.4,"Уже немолодой школьный учитель музыки Джо Гарднер всю жизнь мечтал выступать на сцене в составе джазового ансамбля. Однажды он успешно проходит прослушивание у легендарной саксофонистки и, возвращаясь домой вне себя от счастья, падает в люк и умирает. Теперь у Джо одна дорога — в Великое После, но он сбегает с идущего в вечность эскалатора и случайно попадает в Великое До. Тут новенькие души обретают себя, и у будущих людей зарождаются увлечения, мечты и интересы. Джо становится наставником упрямой души 22, которая уже много веков не может найти свою искру и отправиться на Землю."
Большой куш,"криминал, комедия, боевик",2000,"Великобритания, США",8.6,"Фрэнки Четыре Пальца должен был переправить краденый алмаз из Англии в США своему боссу Эви, но, сделав ставку на подпольный боксерский поединок, он попал в круговорот весьма нежелательных событий. Вокруг него и его груза разворачивается сложная интрига с участием множества колоритных персонажей лондонского дна — русского гангстера, троих незадачливых грабителей, хитрого боксера и угрюмого громилы грозного мафиози. Каждый норовит в одиночку сорвать большой куш."
Гарри Поттер и Дары Смерти: Часть II,"фэнтези, детектив, приключения, семейный",2011,"Великобритания, США",8.2,"Битва между добрыми и злыми силами мира волшебников перерастает во всеобщую войну. Ставки ещё никогда не были так высоки, а поиск убежища — столь сложен. И, быть может, именно Гарри Поттеру придется пожертвовать всем в финальном сражении с Волан-де-Мортом."
Такси,"боевик, комедия, криминал",1998,Франция,8.0,"Таксист Даниэль помешан на быстрой езде. Как ураган проносится он по извилистым улицам Марселя на мощном ревущем «Пежо», пугая прохожих и приводя в ужас пассажиров. Начинающий следователь Эмильен вынуждает его помогать в поимке банды грабителей банков, каждый раз ускользающих от полиции на неуловимых «Мерседесах»."
Властелин колец: Возвращение короля,"фэнтези, приключения, драма, боевик",2003,"Новая Зеландия, США",8.7,"Повелитель сил тьмы Саурон направляет свою бесчисленную армию под стены Минас-Тирита, крепости Последней Надежды. Он предвкушает близкую победу, но именно это мешает ему заметить две крохотные фигурки — хоббитов, приближающихся к Роковой Горе, где им предстоит уничтожить Кольцо Всевластья."
Иван Васильевич меняет всё,"комедия, фантастика, приключения",2023,Россия,6.6,"Шурик пытается с помощью машины времени вернуть домой царя Ивана Грозного. Но VPN, на котором работает чудо-машина, постоянно ломается и перемещает горе-изобретателя и царя в разные страны и времена."
Нулевой пациент,"драма, детектив",2022,Россия,8.4,"1988 год, Калмыцкая АССР. Молодой врач детской больницы Кирсан Аюшев подозревает, что у нескольких его пациентов ВИЧ. Старшие коллеги не верят, что такое возможно, поэтому Кирсан тайком отправляет пробы в Москву. Когда анализы подтверждают его правоту, к делу подключается ученый Дмитрий Гончаров — специалист по малоизвестной в СССР «экзотической» болезни. Теперь судьба десятков детей и нескольких взрослых — а, возможно, и всей страны — зависит от действий столичного эпидемиолога и провинциального педиатра."
Закрыть гештальт,"комедия, фэнтези",2022,Россия,7.6,"Чудом уцелев после падения с 20-го этажа, менеджер автосалона Фёдор Ярцев обретает необычный дар: теперь он видит призраков. Злопамятная теща и школьный физрук, бандит из девяностых и пожилая интеллигентка — кто только не будет донимать Федора своими незаконченными делами. Даже его собственный юный отец, пропавший в 20 лет. Фёдор станет невольным посредником между мирами и поможет заблудшим душам отправиться куда следует. А заодно наладит отношения с папой, которого прежде не знал, и закроет гештальты, о существовании которых даже не подозревал.

"
Пираты Карибского моря: На краю света,"приключения, боевик, фэнтези",2007,США,8.1,"Новые приключения Джека Воробья и его друзей Уилла Тернера и Элизабет Суонн. На этот раз Уиллу и Элизабет придется объединиться с самим Капитаном Барбоссой для того, чтобы отправиться на край света и спасти своего друга — Джека. Ситуация осложняется тем, что Элизабет попадает к сингапурским пиратам…"
Шоу Трумана,"драма, комедия",1998,США,8.3,"Представьте себе, что вы вдруг начинаете понимать, что все вокруг вас — декорации, а люди — актеры, притворяющиеся теми, кем они вам кажутся. Весь ваш мир оказывается большим телесериалом, где вы исполняете главную роль, даже не подозревая об этом. Вся ваша жизнь — результат работы автора телешоу, которое вот уже тридцать лет смотрит вся планета, начиная с момента вашего рождения.
 В такой ситуации оказался Труман, главный герой картины. Будет ли он продолжать жить в безопасном мире, где, как он теперь знает, у него практически нет свободы выбора, или все-таки выйдет из «игры» и станет сам хозяином своей судьбы, в которой его ждет не запланированная сценарием девушка?"
Во всё тяжкое,"драма, комедия",2018,США,7.3,"Ричард — профессор колледжа в Новой Англии, брак которого переживает не лучшие времена. Однажды он узнаёт, что смертельно болен, и без соответствующей медицинской поддержки жить ему осталось максимум полгода. Отказавшись от лечения и решив не сообщать о болезни никому, кроме близкого друга, Ричард кардинально меняет свой образ жизни."
Главный герой,"фантастика, боевик, комедия, мелодрама",2021,"США, Канада",7.4,"Парень по имени Парень счастлив. Он живет в лучшем в мире городе Городе, работает на лучшей в мире работе в Банке и дружит с охранником по имени Приятель. И его совершенно не волнует, что Банк грабят по нескольку раз на дню, а улицы Города напоминают зону военных действий. Единственное, чего Парню не хватает для полного счастья — идеальной девушки, к которой у него имеется точный список требований. И вот однажды он видит на улице красотку, точь-в-точь как в его мечтах. Эта встреча изменит не только нашего главного героя, но и перевернёт весь известный ему мир."
Первому игроку приготовиться,"фантастика, боевик, приключения",2018,"США, Индия, Сингапур, Канада, Великобритания, Япония, Австралия",7.4,"2045 год. Мир погружается в хаос, и люди ищут спасения в виртуальной вселенной игры OASIS. Её создатель, гениальный и эксцентричный Джеймс Холлидей, оставляет завещание: его колоссальное состояние получит игрок, первым обнаруживший в игре цифровое «пасхальное яйцо». На поиски бросается весь мир. Обычный парень Уэйд Уоттс решает принять участие в состязании и бросается в головокружительную погоню за сокровищами по фантастическому миру, полному загадок, опасностей и невероятных открытий."
Алеша Попович и Тугарин Змей,"мультфильм, комедия, приключения, мюзикл, фэнтези, мелодрама, семейный",2004,Россия,8.0,"Когда подступила к Ростову вражеская орда во главе с Тугариным Змеем, Алеша Попович не сумел уберечь жителей от выплаты дани. Теперь богатырь должен восстановить доброе имя, вернуть золото и прогнать неприятеля с земли русской. Он отправляется в путешествие, а помогут ему в этом дядька Тихон, девушка Любава, ее бабушка и говорящий конь Юлий."
Властелин колец: Две крепости,"фэнтези, приключения, драма, боевик",2002,"Новая Зеландия, США",8.6,"Братство распалось, но Кольцо Всевластья должно быть уничтожено. Фродо и Сэм вынуждены довериться Голлуму, который взялся провести их к вратам Мордора. Громадная армия Сарумана приближается: члены братства и их союзники готовы принять бой. Битва за Средиземье продолжается."
Домовенок Кузя,"комедия, семейный, фэнтези",2024,Россия,7.7,"Домовёнок Кузя сбегает из плена Бабы-яги и оказывается в квартире девочки Наташи и ее родителей. Кузе нужно найти свой волшебный сундучок, исполняющий желания. Казалось бы, цель уже близка, но на поиски Кузи и сундучка в наш мир проникает Баба-яга, и у нее есть свои коварные планы."
Всё везде и сразу,"фантастика, комедия, боевик, приключения, драма",2021,США,7.2,"В жизни Эвелин царит бардак. Она никак не может составить налоговый отчёт, пожилой отец постоянно требует внимания, муж витает в облаках, а ещё и дочка добавляет проблем своей личной жизнью. Во время визита в налоговую всё запутывается ещё сильнее — оказывается, Эвелин может скакать по параллельным вселенным и получать доступ к воспоминаниям и навыкам других версий самой себя. И теперь, в полнейшем хаосе, женщине придётся противостоять загадочной злой сущности, которая решила разрушить не только этот мир, но и всю мультивселенную."
Сверхъестественное,"фэнтези, ужасы, триллер, драма, детектив",2005,США,8.2,"Сериал рассказывает о приключениях братьев Сэма и Дина Винчестеров, которые путешествуют по Соединённым Штатам на чёрном автомобиле Chevrolet Impala 1967 года, расследуют паранормальные явления, многие из которых основаны на американских городских легендах и фольклоре, и сражаются с порождениями зла, такими как демоны и призраки."
Догмен,"драма, боевик",2023,"Франция, США",7.8,"Попавшегося полиции странного мужчину в инвалидной коляске, у которого в фургоне обнаружили стаю разнопородных собак, а в месте его проживания — несколько трупов, допрашивает психиатр-криминалист. Тот охотно рассказывает о своём трудном детстве: как жестокий отец посадил его в клетку к псам, из-за чего у мальчика развилась с животными невероятная эмоциональная связь — теперь собаки в точности выполняют все его приказы."
Хоббит: Нежданное путешествие,"фэнтези, приключения, боевик",2012,"Новая Зеландия, США",8.1,"Хоббит Бильбо Бэггинс пускается в грандиозный поход, целью которого является отвоевание утраченного королевства гномов Эребор у дракона Смауга. Совершенно неожиданно с хоббитом налаживает контакт волшебник Гэндальф Серый. Так Бильбо находит себя и присоединяется к компании тринадцати гномов, возглавляемых легендарным воином Торином Дубощитом. Их путешествие пройдёт через Дикий Край, предательские земли, населенные гоблинами и орками, смертоносными варгами, гигантскими пауками, меняющим шкуры народом и волшебниками.

И хотя их цель находится на Востоке, среди пустошей Одинокой Горы, сначала им придется выбраться из туннелей гоблинов, где Бильбо встретит существо, которое изменит его жизнь навсегда - Голлума."
Валериан и город тысячи планет,"фантастика, фэнтези, боевик, приключения",2017,"Франция, Китай, Бельгия, Германия, ОАЭ, США, Канада, Катар",7.0,"2700 год. Валериан и Лорелин - космические спецагенты, которые по долгу службы впутались в подозрительное дело и стали невольными участниками то ли межгалактического заговора, то ли аферы причудливых поселенцев планеты Альфа, прибывших туда из различных миров со всех уголков галактик."
Алита: Боевой ангел,"фантастика, боевик, приключения",2019,"США, Япония",7.2,"300 лет после Великой войны, XXVI век. Доктор Идо находит останки женщины-киборга. После починки киборг ничего не помнит, но обнаруживает, что в состоянии пользоваться боевыми приемами. Начинаются поиски утерянных воспоминаний."
"Ирония судьбы, или С легким паром!","мелодрама, комедия",1975,СССР,8.2,"31 декабря пошли друзья в баню попариться, по традиции смыть с себя все плохое, чтобы встретить Новый год чистыми, а «напарились» до такой степени (пивом и водкой), что отправили в Ленинград не того."
Ходячие мертвецы,"ужасы, триллер, драма",2010,США,8.0,"Зомби-эпидемия захлестнула планету. Шериф Рик Граймс путешествует с семьей и небольшой группой выживших в поисках безопасного места. Но постоянный страх смерти каждый день приносит тяжелые потери, заставляя товарищей по несчастью чувствовать глубины человеческой жестокости. Рик пытается спасти близких и понимает, что всепоглощающий страх людей может быть опаснее ходячих мертвецов."
Бригада,"драма, криминал, боевик",2002,Россия,8.3,"Это история четырех друзей детства, обычных московских парней, Саши Белого, Космоса, Пчелы и Фила, выросших в одном дворе. Друзья решили немного подзаработать, но незапланированное убийство вмиг перемешало все задуманное, поставив на кон их жизни.

Ставка слишком высока, но отступать некуда. Теперь парни прокладывают себе дорогу в криминальном мире и волею судеб превращаются в одну из самых сплоченных и влиятельных группировок…"
Бременские музыканты,"приключения, семейный, фэнтези, комедия",2023,Россия,7.3,"Трубадур и его друзья-самозванцы — Пес, Кошка, Осел и самовлюбленный Петух — объединились, чтобы совершить подвиг. Прежде всего они должны рассмешить дочь Короля, но встреча с Принцессой грозит опасным приключением. Против Трубадура и его друзей — коварные враги, интриги и ловушки, но за любовь надо сражаться. А тут еще Принцесса сбежала из дворца. В одном клубке — преступные схемы Разбойников, интриги Сыщика, капризы и тайны королевской семейки, но веселые музыканты с неутомимым Трубадуром заставят всех плясать под свою дудку."
Люди в чёрном,"фантастика, боевик, комедия, приключения",1997,США,8.0,"Они - самый большой секрет Земли. Они работают на неофициальное правительственное агентство, регулирующее деятельность инопланетян на Земле.
Они - это лучшая, последняя и единственная линия защиты Земли от отбросов вселенной. Их работа секретна, их оружие совершенно, им нет равных, они не оставляют следов. Они - это Люди в черном."
